White Sponge,TPU Box,Threadball,Rubber,Thermocol,Hollow TPU,Green Sponge,wood,PP,PLA,PC,Nylon,Metal,HIPS,ABS
,,4.902248289,4.91202346,,,,4.066471163,4.608993157,3.269794721,3.519061584,3.411534702,2.223851417,3.333333333,4.090909091
,,4.907135875,4.91202346,,,,4.061583578,4.58455523,3.313782991,3.48973607,3.387096774,2.209188661,3.352883675,4.090909091
,,4.902248289,4.916911046,,,,4.071358749,4.604105572,3.30400782,3.504398827,3.431085044,2.600195503,3.460410557,4.066471163
,,4.897360704,4.907135875,,,,4.076246334,4.589442815,3.299120235,3.470185728,3.396871945,2.761485826,3.396871945,3.99315738
,,4.892473118,4.907135875,,,,4.086021505,4.613880743,3.299120235,3.470185728,3.440860215,2.644183773,3.567937439,3.626588465
,,4.897360704,4.91202346,,,,4.090909091,4.594330401,3.323558162,3.372434018,3.382209189,2.751710655,3.465298143,3.563049853
,,4.897360704,4.907135875,,,,4.095796676,4.613880743,3.338220919,3.313782991,3.372434018,2.375366569,3.523949169,3.567937439
,,4.902248289,4.907135875,,,,4.090909091,4.613880743,3.323558162,3.411534702,3.401759531,2.365591398,3.294232649,3.372434018
,,4.892473118,4.91202346,,,,4.100684262,4.6285435,3.333333333,3.455522972,3.411534702,2.331378299,3.387096774,3.377321603
,,4.897360704,4.916911046,,,,4.100684262,4.618768328,3.338220919,3.431085044,3.396871945,2.370478983,3.43597263,3.318670577
,,4.892473118,4.91202346,,,,4.100684262,4.6285435,3.343108504,3.499511241,3.39198436,2.287390029,3.382209189,3.328445748
,,4.897360704,4.91202346,,,,4.105571848,4.623655914,3.343108504,3.460410557,3.396871945,2.438905181,3.39198436,3.377321603
,,4.902248289,4.91202346,,,,4.105571848,4.623655914,3.367546432,3.499511241,3.387096774,2.394916911,3.450635386,3.367546432
,,4.897360704,4.916911046,,,,4.105571848,4.633431085,3.362658847,3.470185728,3.39198436,2.326490714,3.377321603,3.34799609
,,4.902248289,4.916911046,,,,4.105571848,4.638318671,3.387096774,3.279569892,3.411534702,2.468230694,3.39198436,3.39198436
,,4.897360704,4.916911046,,,,4.115347019,4.618768328,3.377321603,3.269794721,3.43597263,2.502443793,3.411534702,3.352883675
,,4.902248289,4.907135875,,,,4.115347019,4.623655914,3.387096774,3.142717498,3.426197458,2.380254154,3.455522972,3.352883675
,,4.897360704,4.91202346,,,,4.12512219,4.6285435,3.406647116,3.470185728,3.396871945,2.414467253,3.416422287,3.328445748
,,4.897360704,4.91202346,,,,4.120234604,4.633431085,3.406647116,3.137829912,3.440860215,2.448680352,3.460410557,3.367546432
,,4.902248289,4.907135875,,,,4.130009775,4.638318671,3.401759531,3.269794721,3.450635386,2.463343109,3.426197458,3.387096774
,,4.892473118,4.91202346,,,,4.12512219,4.643206256,3.406647116,3.284457478,3.450635386,2.399804497,3.406647116,3.357771261
,,4.902248289,4.91202346,,,,4.134897361,4.638318671,3.426197458,3.069403715,3.450635386,2.448680352,3.377321603,3.255131965
